date,open,high,low,close,volume
28/9/99,51.0347,51.717,49.9418,51.5315,8741862
29/9/99,51.5315,51.9024,50.4982,50.4982,6594758
30/9/99,50.9751,51.558,50.3392,51.0281,7462587
1/10/99,50.3393,51.048,49.8094,51.048,8311765
4/10/99,51.3195,52.3793,51.0281,52.1938,5270970
5/10/99,52.3793,53.2007,51.452,52.5648,8277430
6/10/99,52.8827,53.6974,52.0812,53.6179,8095903
7/10/99,53.916,54.1743,53.0947,53.4921,9331778
8/10/99,53.2802,54.2075,52.5648,54.0551,9547803
11/10/99,54.2074,54.8433,54.075,54.8168,5517606
12/10/99,54.6313,55.0684,53.4125,53.5715,8555671
13/10/99,52.9622,53.5981,51.7699,51.9819,9567891
14/10/99,52.1673,52.6707,51.3195,52.3064,9381278
15/10/99,50.9751,51.7169,50.4518,50.7631,14287004
18/10/99,50.8162,51.0016,48.6767,50.1207,10476842
19/10/99,50.6638,50.9221,49.5444,50.3922,11300231
20/10/99,51.1606,52.3462,50.6572,51.9289,9532196
21/10/99,51.0811,52.7767,50.7101,52.7767,9518797
22/10/99,53.0881,53.6246,52.3528,52.5383,7032406
25/10/99,52.2999,53.1411,52.0879,52.5648,5873438
26/10/99,53.2006,53.492,52.0348,52.1408,5740744
27/10/99,52.0084,52.2469,51.2467,52.0614,6454109
28/10/99,52.8827,54.0485,52.4058,53.863,5978735
29/10/99,55.1082,56.168,54.9228,55.7441,8053433
1/11/99,55.744,56.4064,55.3797,55.4526,4104202
2/11/99,55.744,56.4329,55.2737,55.4857,5440787
3/11/99,56.274,56.9098,56.115,56.5919,7949403
4/11/99,57.3802,57.4927,56.6184,57.2278,8498795
5/11/99,58.3935,58.6849,57.8106,57.8106,6415694
8/11/99,58.0226,59.1817,57.8371,58.9764,4616713
9/11/99,59.4533,59.5593,58.0756,58.579,6201712
10/11/99,58.6055,59.8507,58.3405,59.3473,7020362
11/11/99,59.9832,60.4866,59.4533,60.4071,7842919
